WARNING 2025-01-24 12:52:12,011 log 7 281473311633824 Not Found: /static/admin/css/base.css
WARNING 2025-01-24 12:52:12,012 log 7 281473353576864 Not Found: /static/admin/js/theme.js
WARNING 2025-01-24 12:52:12,013 log 7 281473322119584 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2025-01-24 12:52:12,014 log 7 281473343091104 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-01-24 12:52:12,015 log 7 281473332605344 Not Found: /static/admin/css/login.css
WARNING 2025-01-24 12:52:12,015 basehttp 7 281473364062624 "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2025-01-24 12:52:12,016 basehttp 7 281473311633824 "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2025-01-24 12:52:12,016 basehttp 7 281473353576864 "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2025-01-24 12:52:12,017 basehttp 7 281473322119584 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2025-01-24 12:52:12,017 basehttp 7 281473343091104 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2025-01-24 12:52:12,018 basehttp 7 281473332605344 "GET /static/admin/css/login.css HTTP/1.1" 404 179
WARNING 2025-01-24 12:52:12,019 log 7 281473364062624 Not Found: /static/admin/css/responsive.css
WARNING 2025-01-24 12:52:12,022 basehttp 7 281473364062624 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
INFO 2025-01-24 12:55:50,921 autoreload 7 281473513431072 /app/core/settings.py changed, reloading.
INFO 2025-01-24 12:55:55,478 autoreload 7 281473564835872 Watching for file changes with StatReloader
INFO 2025-01-24 12:55:59,945 basehttp 7 281473491988896 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-01-24 12:55:59,960 basehttp 7 281473491988896 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4160
WARNING 2025-01-24 12:55:59,984 log 7 281473481503136 Not Found: /static/admin/css/dark_mode.css
WARNING 2025-01-24 12:55:59,984 log 7 281473491988896 Not Found: /static/admin/css/base.css
WARNING 2025-01-24 12:55:59,985 log 7 281473471017376 Not Found: /static/admin/css/login.css
WARNING 2025-01-24 12:55:59,985 log 7 281473460531616 Not Found: /static/admin/css/responsive.css
WARNING 2025-01-24 12:55:59,986 log 7 281473450045856 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-01-24 12:55:59,988 log 7 281473364062624 Not Found: /static/admin/js/theme.js
WARNING 2025-01-24 12:55:59,989 basehttp 7 281473481503136 "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2025-01-24 12:55:59,990 basehttp 7 281473491988896 "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2025-01-24 12:55:59,990 basehttp 7 281473471017376 "GET /static/admin/css/login.css HTTP/1.1" 404 179
WARNING 2025-01-24 12:55:59,992 basehttp 7 281473460531616 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2025-01-24 12:55:59,992 basehttp 7 281473450045856 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2025-01-24 12:55:59,994 basehttp 7 281473364062624 "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2025-01-24 12:56:00,043 log 7 281473491988896 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2025-01-24 12:56:00,043 basehttp 7 281473491988896 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2025-01-24 12:56:00,044 log 7 281473460531616 Not Found: /static/admin/css/responsive.css
WARNING 2025-01-24 12:56:00,045 log 7 281473450045856 Not Found: /static/admin/css/login.css
WARNING 2025-01-24 12:56:00,045 log 7 281473364062624 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-01-24 12:56:00,046 basehttp 7 281473460531616 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2025-01-24 12:56:00,046 basehttp 7 281473450045856 "GET /static/admin/css/login.css HTTP/1.1" 404 179
WARNING 2025-01-24 12:56:00,047 basehttp 7 281473364062624 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
INFO 2025-01-24 12:56:01,777 basehttp 7 281473491988896 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4160
WARNING 2025-01-24 12:56:01,794 log 7 281473491988896 Not Found: /static/admin/css/base.css
WARNING 2025-01-24 12:56:01,799 basehttp 7 281473491988896 "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2025-01-24 12:56:01,795 log 7 281473460531616 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-01-24 12:56:01,796 log 7 281473364062624 Not Found: /static/admin/css/dark_mode.css
WARNING 2025-01-24 12:56:01,798 log 7 281473471017376 Not Found: /static/admin/css/login.css
WARNING 2025-01-24 12:56:01,799 log 7 281473450045856 Not Found: /static/admin/js/theme.js
WARNING 2025-01-24 12:56:01,794 log 7 281473481503136 Not Found: /static/admin/css/responsive.css
